componente_codigo,componente_nombre,tipo_componente,nivel_jerarquia,familia_causa,maquina_gen_codigo,componente_padre_codigo
ALIM_CS_PASILLO_ALIMENTADOR,pieza de alimentador de ALIM_CS,PIEZA_ALIMENTADOR,0,A_componente_correa,ALIM_CS,
CORREA_CS_M2P_PASILLO_2,medicion ambiental de zona de CORREA_CS_M2P,AMBIENTAL,0,C_ambiental_aseo,CORREA_CS_M2P,
CORREA_CS_M3_GENERAL_3,componente general de correa de CORREA_CS_M3,GENERAL,0,A_componente_correa,CORREA_CS_M3,
CHANCADOR_CS_PASILLO,chute de chancador de CHANCADOR_CS,CHUTE_CHANCADOR,0,A_componente_correa,CHANCADOR_CS,
CORREA_PC_52_COLA_52,pieza de cola (tambor retorno + polines impacto) de CORREA_PC_52,PIEZA_COLA,0,A_componente_correa,CORREA_PC_52,
CORREA_PC_54_CABEZAL_54,pieza de cabezal (tambor motriz + polines) de CORREA_PC_54,PIEZA_CABEZAL,0,A_componente_correa,CORREA_PC_54,
CORREA_PC_55_CABEZAL_55,pieza de cabezal (tambor motriz + polines) de CORREA_PC_55,PIEZA_CABEZAL,0,A_componente_correa,CORREA_PC_55,
CORREA_CT_8A_CABEZAL_8,pieza de cabezal (tambor motriz + polines) de CORREA_CT_8A,PIEZA_CABEZAL,0,A_componente_correa,CORREA_CT_8A,
CORREA_CC_8D_AMBIENTAL_8,medicion ambiental de zona de CORREA_CC_8D,AMBIENTAL,0,C_ambiental_aseo,CORREA_CC_8D,
CORREA_CC_7H_GENERAL_7H,componente general de correa de CORREA_CC_7H,GENERAL,0,A_componente_correa,CORREA_CC_7H,
CORREA_CC_7G_AMBIENTAL_7,medicion ambiental de zona de CORREA_CC_7G,AMBIENTAL,0,C_ambiental_aseo,CORREA_CC_7G,
CORREA_CC_7C_CABEZAL_7,pieza de cabezal (tambor motriz + polines) de CORREA_CC_7C,PIEZA_CABEZAL,0,A_componente_correa,CORREA_CC_7C,
GEN_MC_COSTADO_JAULA_MOLINO_GENERAL,componente general de correa de GEN_MC_COSTADO_JAULA_MOLINO,GENERAL,0,A_componente_correa,GEN_MC_COSTADO_JAULA_MOLINO,
CORREA_CC_8C_GENERAL_8C_7H,componente general de correa de CORREA_CC_8C,GENERAL,0,A_componente_correa,CORREA_CC_8C,
CORREA_PC_57_COLA_57,pieza de cola (tambor retorno + polines impacto) de CORREA_PC_57,PIEZA_COLA,0,A_componente_correa,CORREA_PC_57,
CORREA_PC_53A_COLA_53A,pieza de cola (tambor retorno + polines impacto) de CORREA_PC_53A,PIEZA_COLA,0,A_componente_correa,CORREA_PC_53A,
CORREA_MS_A9_AMBIENTAL_9,medicion ambiental de zona de CORREA_MS_A9,AMBIENTAL,0,C_ambiental_aseo,CORREA_MS_A9,
CORREA_C1_1T_TRANSF_ALIMENTADOR_1T,chute de traspaso de CORREA_C1_1T,CHUTE_TRASPASO,0,A_componente_correa,CORREA_C1_1T,
CORREA_C1_1T_TRANSF_1T_2T,chute de traspaso de CORREA_C1_1T,CHUTE_TRASPASO,0,A_componente_correa,CORREA_C1_1T,
CORREA_C1_2T_TRANSF_2T_3T,chute de traspaso de CORREA_C1_2T,CHUTE_TRASPASO,0,A_componente_correa,CORREA_C1_2T,
