condicion_codigo,problema_raiz_codigo
CHUTE_DETERIORO_GRAVE,A_CHUTE_DETERIORO
CHUTE_DETERIORO_MEDIO,A_CHUTE_DETERIORO
GUARDERA_DESGASTE,A_GUARDERA_DESGASTE
HARNERO_CERRAMIENTO_ROTO,A_HARNERO_CERRAMIENTO
PLANCHAS_MAL_AJUSTE,A_PLANCHAS_MAL_AJUSTE
MAQCTRL_DETENIDA,B_MAQ_CTRL_DETENIDA
FALTA_REPUESTOS,B_FALTA_REPUESTOS
OT_NO_EJECUTADA,B_OT_NO_EJECUTADA
HUMECTACION_BAJA_PRESION,B_HUMECTACION_BAJA_PRESION
POLVO_ACUMULADO_ALTO,C_POLVO_ACUMULADO
POLVO_ACUMULADO_BAJO,C_POLVO_ACUMULADO
MINERAL_FUGITIVO,C_MINERAL_FUGITIVO
HUMEDAD_BAJA,C_HUMEDAD_BAJA
TPH_ALTO,C_TPH_ALTO
ASEO_DEFICIENTE,C_POLVO_ACUMULADO
