ubicacion_tecnica,equipo_denom,tipo_equipo,familia_equipo,sector,planta_canon,orden_sap_ejemplo,fuente
ANCO-CS-CST-SCP-CDS01-MEC,Colector Polvo Seco Same,CDS,abatidor_polvo,CST,Chancado 2° y 3°,110404320,Programa Semana 21
ANCO-CS-CST-SCP-CDS02-MEC,Colector Polvo Seco Cola M2,CDS,abatidor_polvo,CST,Chancado 2° y 3°,110404322,Programa Semana 21
ANCO-CS-CST-SCP-HDP01-MEC,Humectador Alimentador M4A,HDP,abatidor_polvo,CST,Chancado 2° y 3°,110456202,Programa Semana 21
ANCO-CS-CST-SCP-HDP02-MEC,Humectador Alimentador M4B,HDP,abatidor_polvo,CST,Chancado 2° y 3°,110456203,Programa Semana 21
ANCO-CS-CST-SCF-PTV01-MEC,Porton Vent N 2 Tnl Conex CHF - 2  3,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110415519,Programa Semana 21
ANCO-CS-CST-SCP-HDP03-MEC,Humectador Alimentador M1 M2,HDP,abatidor_polvo,CST,Chancado 2° y 3°,110462236,Programa Semana 21
ANCO-CS-CST-SCP-CDP01-MEC,Colector de Polvo CTR N°52,CDP,abatidor_polvo,CST,Chancado 2° y 3°,110409382,Programa Semana 21
ANCO-CS-CST-SVE-VEX01-MEC,Ventilador Extractor N 1,VEX,renovacion_aire,CST,Chancado 2° y 3°,110431571,Programa Semana 21
ANCO-CS-CST-SCF-PUV01-MEC,Puerta Ventilacion N 1 Alimentador M4A,PUV,control_flujo_aire,CST,Chancado 2° y 3°,110459023,Programa Semana 21
ANCO-CS-CST-SCF-PUV02-MEC,Puerta Ventilacion N 2 Alimentador M4A,PUV,control_flujo_aire,CST,Chancado 2° y 3°,110459024,Programa Semana 21
ANCO-CS-CST-SCF-PTV02-MEC,Porton Vent N 3 Tnl Conex CHF - 2  3,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110415520,Programa Semana 21
ANCO-CS-CST-SCF-DAM01-MEC,Damper 5 techo caverna,DAM,control_flujo_aire,CST,Chancado 2° y 3°,110421182,Programa Semana 21
ANCO-CS-CST-SCF-PTV03-MEC,Porton Vent N 4 Tnl Conex CHF - 2  3,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110422491,Programa Semana 21
ANCO-CS-CST-SCF-PTV04-MEC,Portón Ventilación Nº9,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110451891,Programa Semana 21
ANCO-CS-CST-SCF-PTV05-MEC,Portón Ventilación N°7,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110451890,Programa Semana 21
ANCO-CS-CST-SCF-PTV06-MEC,Portón Ventilación Nº1,PTV,control_flujo_aire,CST,Chancado 2° y 3°,110461655,Programa Semana 21
ANCO-CS-CST-SCP-CDH01-MEC,Colector Polvo Humedo S13-1,CDH,abatidor_polvo,CST,Chancado 2° y 3°,110404317,Programa Semana 21
ANCO-CS-CST-SCP-HDP04-MEC,Humectador Correa 7B,HDP,abatidor_polvo,CST,Chancado 2° y 3°,110447207,Programa Semana 21
ANCO-CS-CST-SCP-HDP05-MEC,Humectador Correa 7C,HDP,abatidor_polvo,CST,Chancado 2° y 3°,110447208,Programa Semana 21
