punto_nro,ubicacion_tecnica
23,ANCO-CS-CST-SCP-CDH01-MEC
24,ANCO-CS-CST-SCP-CDH01-MEC
25,ANCO-CS-CST-SCP-CDH01-MEC
26,ANCO-CS-CST-SCP-CDH01-MEC
27,ANCO-PC-CST-SCP-CDP02-MEC
27,ANCO-PC-CST-SCP-HDP01-MEC
29,ANCO-PC-CST-SCP-CDP01-MEC
29,ANCO-PC-CST-SCP-HDP02-MEC
30,ANCO-PC-CST-SCP-HDP03-MEC
34,ANCO-CT-CST-SCP-CDP01-MEC
37,ANCO-CC-CST-SCP-CDH01-MEC
38,ANCO-CC-CST-SCP-CDH01-MEC
40,ANCO-CC-CST-SCP-CDH01-MEC
41,ANCO-CC-CST-SCP-HDP01-MEC
43,ANCO-MC-CST-SCP-HDP01-MEC
56,ANCO-CC-CST-SCP-HDP02-MEC
56,ANCO-CC-CST-SVE-VEX03-MEC
57,ANCO-PC-CST-SCP-HDP04-MEC
58,ANCO-PC-CST-SCP-CDP01-MEC
59,ANCO-MS-CST-SCP-HDP01-MEC
60,ANCO-C1-CST-SCP-CDP01-MEC
60,ANCO-C1-CST-SCP-HDP01-MEC
61,ANCO-C1-CST-SCP-CDP01-MEC
61,ANCO-C1-CST-SCP-HDP01-MEC
62,ANCO-C1-CST-SCP-HDP02-MEC
63,ANCO-C1-CST-SCP-CDP02-MEC
63,ANCO-C1-CST-SCP-HDP03-MEC
64,ANCO-C2-CST-SCF-PTV01-MEC
65,ANCO-C2-CST-SCF-PTV01-MEC
66,ANCO-C2-CST-SCF-PTV01-MEC
67,ANCO-C2-CST-SCF-PTV01-MEC
68,ANCO-C2-CST-SCF-PTV01-MEC
69,ANCO-C2-CST-SCF-PTV01-MEC
70,ANCO-C2-CST-SCF-PTV01-MEC
71,ANCO-C2-CST-SCF-PTV01-MEC
72,ANCO-C2-CST-SCF-PTV01-MEC
73,ANCO-ND-CST-SCP-CDP01-MEC
74,ANCO-ND-CST-SCP-CDP01-MEC
75,ANCO-ND-CST-SCP-CDP01-MEC
76,ANCO-ND-CST-SCP-CDP01-MEC
77,ANCO-ND-CST-SCP-CDP01-MEC
78,ANCO-ND-CST-SCP-CDP01-MEC
79,ANCO-ND-CST-SCP-CDP01-MEC
